Year,President,Vice.President.,Secretary,Treasurer,Other.members.of.council
1974,Prof J.S. Maritz,Dr J.K. Mackenzie,Dr A.G. Pakes,Dr P.F. Preston,"Miss J. Boughton, Prof P. Brockwell, Dr D. Ironmonger, J.W. Snow, R. Watson, Prof E. Williams"
1975,Dr D. Ironmonger,Prof J.S. Maritz,Dr A.G. Pakes,Dr P.F. Preston,"Miss J. Boughton, Prof P. Brockwell, A. Brown, Dr R. Jarrett, R. Vasudeva, Prof E. Williams"
1976,Dr D. Ironmonger,Prof J.S. Maritz,Dr A.G. Pakes,R. Vasudeva,"Dr W. Bartlett, Prof P. Brockwell, A. Brown, J. Hopper, Dr R. Jarrett, J. Snow"
1977,Prof P.D. Finch,Dr D. Ironmonger,Dr R.G. Jarrett,R. Vasudeva,"Dr W. Bartlett, Dr B.M. Brown, Dr R.M. Clark, N. Diamond, Dr I.R. James, Dr G.K. Robinson"
1978,Prof P.D. Finch,Dr D. Ironmonger,Dr R.G. Jarrett,Dr A.G. Pakes,"Dr B.M. Brown, Dr H. Cohn/Dr P.G. Hall, R.J. Hilton, Dr S.G. Loo, C. Morley, Dr G.K. Robinson"
1979,Prof E.J. Williams,Prof P.D. Finch,Dr R.G. Jarrett,Dr A.G. Pakes,"Dr B.M. Brown, M. Hannah, C. Morley, Dr G.K. Robinson, Dr R.L. Tweedie"
1980,Prof E.J. Williams,Prof P.D. Finch,C. Morley,R.J. Hilton,"M. Hannah, I. McPhee, M. Ryan, Dr G.K. Robinson, Dr D.J. Scott, Dr R.L. Tweedie"
1981,Prof W. Ewens,Prof E.J. Williams,Dr R.M. Clark,R.J. Hilton,"Prof J. Maritz, I. MacPhee, C. Morley, M. Ryan, Dr D.J. Scott, Dr I. Saunders/Dr R.L. Tweedie"
1982,Prof W. Ewens,Prof E.J. Williams,Dr T.C. Brown,R.J. Hilton,"Dr B. Balkau, G. Bruton, R.Higgins, I. MacPhee/ S. Sheather, C. Morley, Dr A. Miller/Dr I. Saunders"
1983,Dr R. Jarrett,Prof W. Ewens,Dr T.C. Brown,R.J. Hilton,"Dr B. Balkau, G. Bruton, R. Higgins, Ms B. Laby, Dr A. Miller, S. Sheather"
1984,Dr R. Jarrett,Prof W. Ewens,Dr T.C. Brown,R.J. Hilton,"Dr B. Balkau, N. Diamond, Ms C. Finch, Prof C. Heyde, Dr A. Miller, J. Pidgeon"
1985,Prof C. Heyde,Dr R. Jarrett,Dr B. Balkau,J. Pidgeon,"G. Alford, N. Diamond, Dr R. Griffiths, M. Hannah, Dr G. Robinson, Dr S. Sheather, Ms N. Shute"
1986,Dr W. Dunsmuir,Not filled,Dr B. Balkau,J. Pidgeon,"G. Alford, N. Diamond, Dr R. Griffiths, M. Hannah, Dr G. Robinson, Dr S. Sheather, Ms N. Shute"
1987,Dr M. Clark,Not filled,N. Garnham,Dr D. Scott,"G. Alford, W. Armstrong, Dr S. Crosbie, C. Nelson, Dr G. Robinson"
1988,Dr M. Clark,Not filled,N. Garnham,D. Attwood,"G. Alford, W. Armstrong, Dr S. Crosbie, C. Nelson, Dr G. Robinson"
